question,answer,clean_question,intent
@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",i really hope you all change but im sure you wont because you dont have to,general_query
@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,"@105836 Have you tried from another device, Miriam ^MM",see attached error message ive tried leaving a voicemail several times in the past week,general_query
"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too","@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",yep ive tried laptop too several times over the past week and again today ive tried different browsers too,general_query
@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",i still havent heard amp the number im directed to by phone is a dead end amp the live chat doesnt work can someone call me,general_query
"@105838 @AppleSupport Me too am suffering , hope the can find a solution",@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,me too am suffering  hope the can find a solution,general_query
I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,i just updated my phone and suddenly everything takes ages to load wtf  this update sux i hate it fix it bye,general_query
@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,thanks version 8422857 armv7 on anker bluetooth speaker on samsung galaxy tab a 2016 model smt280 does distance from speaker matter,general_query
"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!","@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",no but ive moved speaker to about 1 metre away and its not skipping at the mo  it was about 3 or 4 metres away before fingers crossed,general_query
@SpotifyCares Brilliant thanks 😊,"@105840 You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP",brilliant thanks,general_query
@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",please help spotify premium skipping through songs constantly on android tablet amp bluetooth speaker tried everything,general_query
"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,after the 1102 my phone just sucks most of the apps are broken wifi disconnects frequently apple ios1102 painfulupdate,general_query
Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",okay  i used my fucking phone for 2 minutes and it drains it down 8 fucking percent,general_query
"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,can you get my iphone 7plus back on the old ios please  battery runs out in half the time apps now frequently crash,general_query
You’ve paralysed my phone with your update @76099 grrrrrrrrrr,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,youve paralysed my phone with your update  grrrrrrrrrr,general_query
"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex","@82476 🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further. https://t.co/5pyLDJBC6r",i received this a few weeks ago since then ive been getting 23 calls a day from a telemarketer is someone using your name,general_query
"My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245","@105845 I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",my internet is down and xfinity talkin about 2472 hours yall have the game messed up,general_query
@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,@105676 I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC,i service last 40 min sprint can i get a refund,refund_issue
So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,so the new  update does not let me listen to music and go on whatsapp at the same time,general_query
@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,@105847 Sure thing. We'll keep an eye out for your update /MU,seems to be working at this stage will let you know if it happens again cheers,general_query
@SpotifyCares problem has come back again today. is there some kind of bug?,"@105847 Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",problem has come back again today is there some kind of bug,general_query
"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",@105847 Got it. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this. Let us know how it plays out /AY,its on a macbook air early 2014 running high sierra spotify version 1065320gac7a8e02,general_query
@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,@105847 Hi Harry! Help's here. Can you check if logging out &gt; restarting your device &gt; logging back in makes a difference? Keep us posted /MU,ive been having issues with playback songs have been stopping midway through and wont restart unless i close and reopen app,general_query
@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,ios11update  is still killing my battery within 12 hours  phone is 10 months old  its a disgrace  used to get 2 days,general_query
"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,took my phone off charge at 720am803am  60 battery remaining plz i beg you sort your battery life out,general_query
@southwestair Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,"@105850 Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",just curiouswill i get the companion pass the exact moment i get enough points it will i have to wait thanks,general_query
